"Date","Distance_Miles.sum","Distance_Miles.mean","Duration.sum","Duration.mean"
2016-10-08,393.19,1.32834459459459,3951.53333333333,13.3497747747748
2016-10-09,132.55,1.09545454545455,1288.61666666667,10.6497245179063
2016-10-10,542.83,1.25364896073903,4902.7,11.3226327944573
2016-10-11,663.57,1.25201886792453,5961.4,11.2479245283019
2016-10-12,653.76,1.26943689320388,5827.7,11.3159223300971
2016-10-13,207.9,1.155,1687.63333333333,9.37574074074074
2016-10-14,392.45,1.13753623188406,3816.08333333333,11.0611111111111
2016-10-15,178.87,1.14660256410256,1916.48333333333,12.2851495726496
2016-10-16,155.55,0.990764331210191,1393.85,8.87802547770701
2016-10-17,380.6,1.22774193548387,3364.45,10.853064516129
2016-10-18,493.57,1.18362110311751,4297.51666666667,10.305795363709
2016-10-19,565.77,1.26287946428571,4963,11.078125
2016-10-20,445.33,1.2268044077135,4000.35,11.0202479338843
